,department_name,eng
1029,機械與機電工程學系精密機械組,"Precision Machinery Group, Department of Mechanical and Electrical Engineering"
1030,航空太空工程學系,Engineering department of air space
1031,建築學系,Department of Architecture
1048,德國語文學系,The German language and literature
1050,中國文學系中國文學組,Chinese literature group in Chinese literature
1051,中國文學系文藝創作組,Chinese literature literary group
1052,經濟學系,The department of economics
1092,生活應用科學系,Applied science department life
1093,技擊運動暨國術學系,Department of Technical And National Science
1094,運動與健康促進學系,Department of Sport and Health Promotion
1095,觀光事業學系,"Department of tourism,"
1096,外國語文學系,The DFLL
1150,資訊傳播工程學系(遊戲設計組),Department of Information Communication Engineering (Game Design Group)
1151,資訊傳播工程學系(動畫設計組),Department of Information Communication Engineering (Animation Design Group)
1152,資訊傳播工程學系-類繁星,Information transmission engineering department - class stars
1153,會計學系,Department of Accounting
1154,會計學系-類繁星,Department of Accounting - Stars
1155,財務金融學系,Department of Finance and Finance
1212,應用外語學系,"Department of applied foreign languages,"
1245,科技管理學系,"Department of science and technology management,"
1282,空間設計學系室內設計組,"Interior Design Group, Department of Space Design"
1283,英語學系,English Department
1284,應用日語學系,Department of applied Japanese
1319,醫療器材設計與材料學士學位學程,A bachelor's degree in medical device design and materials and programs
1331,運動健康管理學系(運動健康指導組),Department of Sports Health Management (Sports Health Guidance Group)
1359,應用英語學系,"Department of applied English,"
1443,新媒體暨傳播管理學系（臺北校區）,New media and communication management department (Taipei campus)
1444,會計學系（臺北校區）,The accounting department (Taipei campus)
1446,財務金融學系財務金融組（臺北校區）,Finance and Finance Department Finance Group (Taipei Campus)
1447,經濟與金融學系（桃園校區）,The department of economic and financial (taoyuan campus)
1522,餐飲管理學系(臺北校區),Campus catering management department (Taipei)
1548,幼兒教育學系,"Department of early childhood education,"
1583,經濟學系(臺北校區),The department of economics (Taipei campus)
1584,運動資訊傳播學系(臺北校區),Department of Sports Information Communication (Taipei Campus)
1608,化學工程學系,"Department of chemical engineering,"
1646,公共衛生學系,"Department of public health,"
1647,高齡健康管理學系,Department of health management
1648,應用外國語言學系,Applied foreign language department
1655,醫學系,School of medicine
1656,護理學系,Department of Nursing
1657,護理學系(公費生),Department of Nursing (public-fee students)
1658,醫學檢驗暨生物技術學系,Medical tests and the department of biotechnology
1677,美術學系應用藝術組,"Applied Art Group, Department of Fine Arts"
1678,書畫藝術學系,Department of Art of Calligraphy and Painting
1679,台灣文化創意產業學士學位學程,Culture creative industry bachelor's degree program in Taiwan
1680,神學系,God department
1694,財務金融學系,Department of Finance and Finance
1695,財務金融學系投資資訊組,"Investment Information Group, Department of Finance and Finance"
1711,創新應用管理學系企業創新組,"Enterprise Innovation Group, Department of Innovation Application Management"
1755,中醫學系甲組,The doctor of traditional Chinese medicine department of students'
1821,光電與通訊學系光電綠能組,"Optoelectronics Green Energy Group, Department of Optoelectronics and Communication"
1822,光電與通訊學系通訊網路組,"Communications Network Group, Department of Optoelectronics and Communications"
1823,生物資訊與醫學工程學系生醫資訊組,"Bioinformatics and medical engineering, department of biomedical information group"
1824,生物資訊與醫學工程學系醫學工程組,"Bioinformatics and medical engineering, department of medical engineering group"
